,regions,global_employees,region_employees,obj_value,gap,elapsed_time,status,hiring_costs,outsourcing_costs,exec_time,n_variables,n_constraints,n_nonzeroes,city,demand_baseline,week_demand_type,weekend_demand_type,outsourcing_cost_multiplier,model,regional_multiplier,global_multiplier
0,"[0, 1, 2, 3]",39,"{0: 10, 1: 10, 2: 9, 3: 10}",6783.8,6.879133674560693e-05,115.19896197319031,2,936.0,5847.800000003522,115.29120898246765,228600,102084,866807,berlin,1.00,doublepeak,uniform,1.2,fixed,1.5,0.8
1,"[0, 1, 2, 3]",58,"{0: 15, 1: 14, 2: 14, 3: 15}",5793.4,0.0003333515536701054,120.12830185890198,9,1392.0,4401.433333336102,120.26944208145142,291680,103528,1243264,berlin,1.00,doublepeak,uniform,1.2,fixed,1.5,0.8
2,"[0, 1, 2, 3]",62,"{0: 16, 1: 15, 2: 15, 3: 16}",5617.8,0.000992014929272481,120.13611507415771,9,1488.0,4129.775000002627,120.2489321231842,304960,103832,1322012,berlin,1.00,doublepeak,uniform,1.2,fixed,1.5,0.8
3,"[0, 1, 2, 3]",66,"{0: 17, 1: 16, 2: 16, 3: 17}",5451.1,0.0009595519465721593,120.16572904586792,9,1584.0,3867.1416666691475,120.35554313659668,318240,104136,1400760,berlin,1.00,doublepeak,uniform,1.2,fixed,1.5,0.8
4,"[0, 1, 2, 3]",77,"{0: 20, 1: 19, 2: 19, 3: 19}",5042.3,0.008476455850607925,120.27339601516724,9,1848.0,3194.3000000021784,120.46728801727295,354760,104972,1610194,berlin,1.00,doublepeak,uniform,1.2,fixed,1.5,0.8
5,"[0, 1, 2, 3]",97,"{0: 25, 1: 24, 2: 24, 3: 24}",4528.7,0.0650088154039484,120.29488396644592,9,2328.0,2200.6750000014254,120.47050905227661,421160,106492,2003934,berlin,1.00,doublepeak,uniform,1.2,fixed,1.5,0.8
6,"[0, 1, 2, 3]",116,"{0: 30, 1: 29, 2: 28, 3: 29}",4250.3,0.06879548286603707,120.14391303062439,9,2784.000000001472,1466.3499986986012,120.35273289680481,484240,107936,2377881,berlin,1.00,doublepeak,uniform,1.2,fixed,1.5,0.8
7,"[0, 1, 2, 3]",136,"{0: 35, 1: 34, 2: 33, 3: 34}",4245.5,0.10065832075742666,120.1971001625061,9,3264.0,981.4750000006516,120.37795186042786,550640,109456,2771621,berlin,1.00,doublepeak,uniform,1.2,fixed,1.5,0.8
8,"[0, 1, 2, 3]",194,"{0: 50, 1: 48, 2: 47, 3: 49}",4800.9,0.02644323401065483,120.2288670539856,9,4656.0,144.8500000000813,120.52535390853882,743200,113864,3915765,berlin,1.00,doublepeak,uniform,1.2,fixed,1.5,0.8
9,"[0, 1, 2, 3]",271,"{0: 70, 1: 67, 2: 66, 3: 68}",6504.5,7.30266470389301e-05,26.314943075180054,2,6504.0,0.4749999999994543,26.642893075942993,998840,119716,5426839,berlin,1.00,doublepeak,uniform,1.2,fixed,1.5,0.8
